Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,40.0,1.0,40.0,40.0,0.1,23.20700000000002,0.0,0.0,0.008126258850097656,,,,,,,,,,,,,,,,,,,,,7.7182805132654435,7.930576504123816,22.944134103542364,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,73.0,2.0,33.0,73.0,0.1,15.806999999999993,0.0,0.0,3.9771173000335693,,,,,,,,,,,,,,,,,,,,,4.675858889292812,5.390014471401779,15.684049070745758,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,118.0,3.0,45.0,118.0,0.1,24.90700000000002,0.0,0.0,9.29435110092163,,,,,,,,,,,,,,,,,,,,,7.991174591080423,8.337852506316567,24.596565678192086,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,152.0,4.0,34.0,152.0,0.1,14.707999999999993,0.0,0.0,13.057364225387573,,,,,,,,,,,,,,,,,,,,,4.190760013007837,4.871021286988667,14.594688942754301,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,214.0,5.0,62.0,214.0,0.1,40.404999999999994,0.0,0.0,19.60827326774597,,,,,,,,,,,,,,,,,,,,,16.088925592940868,12.24692944498365,39.48641996675121,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,273.0,6.0,59.0,273.0,0.1,38.50599999999999,0.0,0.0,25.92241907119751,,,,,,,,,,,,,,,,,,,,,14.615536644334904,12.12985219108139,37.719083786473405,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,324.0,7.0,51.0,324.0,0.1,15.007999999999987,0.0,0.0,31.286938428878784,,,,,,,,,,,,,,,,,,,,,3.590478339397667,4.278619205907633,14.854579909930669,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,353.0,8.0,29.0,353.0,0.1,13.205999999999994,0.0,0.0,34.69676756858826,,,,,,,,,,,,,,,,,,,,,3.9163736440236137,4.4967554650345285,13.1186493443627,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,424.0,9.0,71.0,424.0,0.1,23.819000000000027,0.0,0.0,42.00078082084656,,,,,,,,,,,,,,,,,,,,,9.258269907091217,4.967229160271125,23.208055740020818,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,456.0,10.0,32.0,456.0,0.1,15.606999999999994,0.0,0.0,46.03747582435608,,,,,,,,,,,,,,,,,,,,,4.759565298707749,5.316511972771559,15.485649724240108,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.0,0.0,488.0,11.0,32.0,488.0,0.1,15.206999999999994,0.0,0.0,49.88492703437805,,,,,,,,,,,,,,,,,,,,,4.524190734512737,5.180370465739508,15.09239559529058,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,0.0,515.0,12.0,27.0,515.0,0.1,13.505999999999995,0.0,0.0,53.425843238830566,,,,,,,,,,,,,,,,,,,,,4.262159716648118,4.7131253695603545,13.417743757421588,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,0.0,0.0,547.0,13.0,32.0,547.0,0.1,13.905999999999993,0.0,0.0,57.027316093444824,,,,,,,,,,,,,,,,,,,,,3.9921502142309095,4.626836306397429,13.805849085466459,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,0.0,0.0,576.0,14.0,29.0,576.0,0.1,15.005999999999995,0.0,0.0,61.0546989440918,,,,,,,,,,,,,,,,,,,,,4.823727044917692,5.195436222606035,14.8958887974034,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0,0.0,0.0,646.0,15.0,70.0,646.0,0.1,44.306,0.0,0.0,68.13671231269836,,,,,,,,,,,,,,,,,,,,,17.585133476009823,14.025949097777174,43.16132013563043,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0,0.0,0.0,685.0,16.0,39.0,685.0,0.1,22.805000000000017,0.0,0.0,72.60535717010498,,,,,,,,,,,,,,,,,,,,,7.7335225019460765,7.74176746259599,22.54846700797304,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.0,0.0,0.0,718.0,17.0,33.0,718.0,0.1,15.805999999999994,0.0,0.0,76.3972442150116,,,,,,,,,,,,,,,,,,,,,4.773308689270205,5.331318447979604,15.679824782995292,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0,0.0,0.0,757.0,18.0,39.0,757.0,0.1,25.105000000000015,0.0,0.0,80.79416799545288,,,,,,,,,,,,,,,,,,,,,9.127526982045744,8.56900117041464,24.79859884679496,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,843.0,19.0,86.0,843.0,0.1,67.106,0.0,0.0,89.65878486633301,,,,,,,,,,,,,,,,,,,,,28.08137731244742,21.00573582104271,64.82057788632426,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,876.0,20.0,33.0,876.0,0.1,17.606000000000016,0.0,0.0,93.60736131668091,,,,,,,,,,,,,,,,,,,,,5.701896325688464,6.022041757946904,17.452725419365596,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,54.0,1.0,54.0,930.0,0.1,35.407,0.0,0.0,191.0995228290558,,,,,,,,,,,,,,,,,,,,,12.606407678749097,11.914095737980938,34.79581081115905,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,86.0,2.0,32.0,962.0,0.1,12.807999999999993,0.0,0.0,194.77125763893127,,,,,,,,,,,,,,,,,,,,,3.4544608153236314,4.238377581988731,12.722890311642619,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,146.0,3.0,60.0,1022.0,0.1,16.507000000000005,0.0,0.0,200.9864158630371,,,,,,,,,,,,,,,,,,,,,3.924508979829623,4.4500090641199455,16.304121399888594,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,246.0,4.0,100.0,1122.0,0.1,42.80500000000005,0.0,0.0,210.75999975204468,,,,,,,,,,,,,,,,,,,,,15.38202059458391,10.833925466902246,41.349455502090294,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,287.0,5.0,41.0,1163.0,0.1,18.108000000000025,0.0,0.0,215.3338611125946,,,,,,,,,,,,,,,,,,,,,5.0626606945244355,5.905753166450548,17.93628554633162,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,366.0,6.0,79.0,1242.0,0.1,57.007,0.0,0.0,223.15093636512756,,,,,,,,,,,,,,,,,,,,,21.508649981852532,18.592445440997473,55.41859842969463,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,0.0,403.0,7.0,37.0,1279.0,0.1,13.207999999999991,0.0,0.0,227.5290286540985,,,,,,,,,,,,,,,,,,,,,3.396630319340884,4.16403792573778,13.108528626909582,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.0,0.0,0.0,435.0,8.0,32.0,1311.0,0.1,14.206999999999994,0.0,0.0,231.256498336792,,,,,,,,,,,,,,,,,,,,,4.135807847136544,4.752220822760972,14.102845737520937,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,515.0,9.0,80.0,1391.0,0.1,36.20500000000003,0.0,0.0,239.2368495464325,,,,,,,,,,,,,,,,,,,,,14.310961903798761,9.639268577353905,35.130348614576654,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,0.0,563.0,10.0,48.0,1439.0,0.1,26.305000000000017,0.0,0.0,244.09214091300964,,,,,,,,,,,,,,,,,,,,,9.450566812736337,8.404175987821398,25.903153196227915,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,0.0,706.0,11.0,143.0,1582.0,0.1,72.71000000000001,0.0,0.0,257.10393810272217,,,,,,,,,,,,,,,,,,,,,33.43466639386523,20.51256223902118,68.06490444967218,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,0.0,734.0,12.0,28.0,1610.0,0.1,13.605999999999995,0.0,0.0,260.6047041416168,,,,,,,,,,,,,,,,,,,,,4.187900726554885,4.713316189897722,13.515756777454598,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,0.0,800.0,13.0,66.0,1676.0,0.1,36.105,0.0,0.0,267.33950638771057,,,,,,,,,,,,,,,,,,,,,13.253910562924577,10.749069202523595,35.300808218475716,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,0.0,839.0,14.0,39.0,1715.0,0.1,16.608000000000015,0.0,0.0,271.9565486907959,,,,,,,,,,,,,,,,,,,,,4.542964007987887,5.4179252079670706,16.463735410774614,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,0.0,881.0,15.0,42.0,1757.0,0.1,22.70700000000002,0.0,0.0,276.4764623641968,,,,,,,,,,,,,,,,,,,,,7.322023838218872,7.559493867032827,22.444341236927425,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,0.0,968.0,16.0,87.0,1844.0,0.1,49.307,0.0,0.0,284.73801445961,,,,,,,,,,,,,,,,,,,,,18.305017824191555,14.163277725803475,47.81003571068097,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,0.0,0.0,1047.0,17.0,79.0,1923.0,0.1,33.80900000000002,0.0,0.0,292.9799282550812,,,,,,,,,,,,,,,,,,,,,12.21768983825188,9.286395327701518,32.9095887707308,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1.0,0.0,0.0,1097.0,18.0,50.0,1973.0,0.1,29.90700000000002,0.0,0.0,298.1775760650635,,,,,,,,,,,,,,,,,,,,,10.041192973489158,10.019253600651798,29.463838564616214,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
